Departamento,Cantidad_Total,Complejidad,prediction
Cundinamarca,6678528,9666048,1
Antioquia,22466560,32273408,2
San Andrés y Providencia,278528,407040,0
Norte de Santander,4980224,7669760,1
Atlántico,15249920,24498688,2
Santander,9722368,14935552,1
Casanare,1393152,1936896,0
Huila,4050432,6579200,1
Bolívar,8620544,12934144,1
Magdalena,6156800,8491520,1
Bogotá D.C,29538816,47060480,2
Risaralda,3875840,5639680,1
Sucre,5024256,7706624,1
La Guajira,3266560,4918784,0
Tolima,5137408,8067072,1
Guaviare,270848,314368,0
Vichada,204800,229376,0
Quindío,2649600,3544064,0
Cauca,3642880,5494784,1
Valle del cauca,17744896,29279232,2
Meta,4406784,6098944,1
Amazonas,368128,391168,0
Cesar,7071232,10880000,1
Córdoba,6598656,10603008,1
Vaupés,51712,64000,0
Guainía,84992,91648,0
Chocó,1736704,2117632,0
Arauca,807936,1060352,0
Caquetá,1554944,2074624,0
Putumayo,1128448,1461248,0
Boyacá,3719168,5510656,1
Caldas,4507648,6500864,1
Nariño,5653504,8083456,1
